Column1,Column2,Column3
0,29.418976,8456.322849
0.181658,29.433487,8447.821473
0.325676,29.449145,8438.657811
0.46783,29.448884,8438.810918
0.611362,29.41715,8457.393529
0.754152,29.437592,8445.418118
0.89668,29.441408,8443.185094
1.039474,29.434558,8447.194802
1.181375,29.404926,8464.562424
1.324225,29.429947,8449.895081
1.466607,29.438533,8444.867347
1.609837,29.451501,8437.279993
1.75281,29.442864,8442.333029
1.895739,29.434247,8447.376964
2.038648,29.449489,8438.456686
2.181198,29.418311,8456.712962
2.324434,29.430266,8449.707953
2.466866,29.430305,8449.685347
2.61024,29.425436,8452.53758
2.752367,29.435967,8446.369636
2.895647,29.426547,8451.886623
3.038533,29.452653,8436.606135
3.18099,29.444655,8441.284968
3.323883,29.438552,8444.85664
3.4666,29.429119,8450.379619
3.609812,29.436014,8446.34206
3.752626,29.449068,8438.702849
3.89422,29.452282,8436.823262
4.036882,29.413287,8459.658066
4.179568,29.442873,8442.327717
4.322027,29.42421,8453.255842
4.465246,29.429257,8450.299292
4.607642,29.44303,8442.23571
4.750306,29.421616,8454.77557
4.893279,29.443452,8441.988809
5.061592,29.398023,8468.613738
5.205058,29.446428,8440.247522
5.3472,29.429881,8449.933502
5.491105,29.451689,8437.169964
5.633243,29.436947,8445.795777
5.776615,29.446924,8439.957456
5.919248,29.43036,8449.652987
6.061946,29.426434,8451.952588
6.204481,29.428334,8450.839419
6.347414,29.412358,8460.203017
6.490643,29.42507,8452.751613
6.635387,29.457143,8433.981151
6.778857,29.447171,8439.812694
6.922645,29.416716,8457.647832
7.066598,29.425147,8452.706832
7.210897,29.412837,8459.92209
7.35347,29.4237,8453.554579
7.497296,29.42317,8453.865314
7.640197,29.453247,8436.259237
7.783803,29.417653,8457.098343
7.927097,29.424841,8452.886135
8.069757,29.443569,8441.920401
8.213523,29.436887,8445.831082
8.355749,29.454051,8435.788863
8.499014,29.433146,8448.021388
8.642343,29.430308,8449.683485
8.785125,29.424832,8452.891365
8.927778,29.401327,8466.674407
9.072686,29.418539,8456.579273
9.215064,29.441883,8442.906753
9.358498,29.4407,8443.599132
9.502123,29.437072,8445.722872
9.644445,29.42164,8454.761752
9.787685,29.432127,8448.618312
9.930609,29.433038,8448.084789
10.073504,29.436502,8446.056675
10.217605,29.421562,8454.80732
10.360589,29.428775,8450.581637
10.518927,29.432783,8448.234215
10.661523,29.434562,8447.19207
10.80494,29.433755,8447.665014
10.94747,29.418327,8456.703643
11.090626,29.424918,8452.841145
11.233197,29.441391,8443.195029
11.376416,29.433521,8447.801597
11.520264,29.41269,8460.008303
11.664303,29.426481,8451.924912
11.807627,29.436627,8445.98331
11.95029,29.429907,8449.918027
12.093646,29.429781,8449.992175
12.236685,29.412388,8460.185573
12.379334,29.439697,8444.185954
12.521756,29.429137,8450.369078
12.664156,29.427043,8451.596149
12.807512,29.458633,8433.110326
12.949218,29.410138,8461.505054
